step,amount,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest,CASH_OUT,DEBIT,PAYMENT,TRANSFER
193,8020.43,10817.14,188029.71,156541.68,92994.84,1,1,0,0
471,21423.4,183599.19,150307.4,174047.03,13192.12,0,0,1,0
609,14409.43,164772.88,191030.11,108474.12,99869.38,1,0,0,1
130,98644.47,188490.64,94576.07,166643.75,170242.8,1,1,1,0
633,74830.4,71769.64,159885.89,156481.55,181403.27,0,1,1,0
498,80840.34,74933.41,134732.77,174568.13,27937.77,1,1,0,1
269,90600.25,129742.4,156084.57,78214.47,69565.62,0,0,0,0
551,17001.33,89294.34,156125.58,65464.84,163824.39,1,0,1,1
436,51167.17,42357.94,134222.11,40831.76,24364.38,0,1,0,0
630,29497.26,135871.26,131743.21,101707.18,57601.22,0,1,0,1
700,36017.19,42945.09,132304.54,163854.96,144642.45,0,0,0,0
98,44773.01,114011.52,51066.84,169289.39,38920.02,1,0,0,1
341,64918.41,129056.46,136968.6,79531.08,176157.41,1,1,1,0
727,62040.08,113274.04,129160.13,191881.47,129528.44,1,0,1,0
5,67163.32,25923.47,3545.77,147896.52,83005.38,0,1,1,0
594,3024.02,49062.48,171519.42,186515.09,1310.13,1,1,0,1
92,92325.88,154328.3,57094.74,125273.67,155070.66,1,0,0,0
287,82964.88,136213.39,6627.05,69451.7,142396.42,1,0,1,1
424,11768.81,125032.12,40462.52,754.67,90607.28,1,0,0,0
151,69095.84,67763.29,46060.54,81015.16,160600.06,0,1,1,0
702,60600.57,67469.27,145055.64,53834.85,73502.8,0,1,1,0
450,17480.93,76525.93,191377.64,130277.13,190690.79,0,1,1,0
440,35527.36,157649.23,61549.4,64507.68,44399.9,0,1,1,0
395,74679.53,112370.46,168172.16,65600.95,103575.61,0,1,1,0
592,59385.66,147879.66,50777.35,31630.75,43335.61,0,0,1,1
188,88618.93,143210.11,88994.75,151716.93,177754.36,1,1,0,1
71,52886.99,119891.86,11869.08,122773.31,78186.87,1,1,1,1
476,2769.96,8348.77,173932.06,138592.04,94516.27,0,1,1,0
287,95166.89,54513.52,101110.87,36704.5,162492.39,1,1,1,0
290,27751.7,152119.92,59123.15,57870.37,199586.88,1,1,0,1
551,47307.85,1836.13,154929.82,83010.84,44762.18,1,0,1,0
355,65612.12,94240.43,116868.69,103741.82,147897.04,0,1,0,1
110,24840.26,61942.25,141031.36,108419.43,133786.08,1,1,1,1
442,27248.95,102264.03,98647.62,56326.99,87170.4,0,1,1,1
266,37812.65,112082.2,61152.24,56481.52,129486.72,0,1,0,0
648,70271.71,96174.38,57041.67,39555.16,144208.97,0,1,0,1
446,62113.84,1213.4,80652.12,152146.93,8358.03,0,0,1,0
549,78828.26,38524.46,104574.73,175237.2,199996.95,1,1,0,1
171,89386.22,56036.59,136362.17,134173.95,14723.51,0,0,1,1
309,71759.75,73605.6,180656.1,193354.13,124120.08,0,1,0,0
219,5045.16,116147.86,139042.34,107780.45,41157.07,0,1,1,0
